strategy,optimizer,asset,asset_class,frequency,iteration,candidate_id,params_json,train_net_sharpe,train_gross_sharpe,train_sharpe,train_net_return,train_return,train_volatility,train_max_drawdown,train_trade_count,train_total_cost,train_turnover,cost_bps,valid
Strategy0 / Baseline,NES,GLD,commodities,15min,2,22,"{""entry_interval"": 56, ""lookback"": 5, ""vol_target"": 0.046854}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,2,23,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,2,24,"{""entry_interval"": 50, ""lookback"": 8, ""vol_target"": 0.045305}",-1.581834,1.130965,-1.581834,-21.78472,-21.78472,74.564874,-29.323706,553,30989.233581,0.081561,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,25,"{""entry_interval"": 53, ""lookback"": 5, ""vol_target"": 0.043789}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,26,"{""entry_interval"": 60, ""lookback"": 8, ""vol_target"": 0.05}",-1.581834,1.130965,-1.581834,-21.78472,-21.78472,74.564874,-29.323706,553,30989.233581,0.081561,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,27,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,28,"{""entry_interval"": 60, ""lookback"": 6, ""vol_target"": 0.05}",0.10369,2.829615,0.10369,-3.059951,-3.059951,72.219313,-25.187309,553,33723.417628,0.088758,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,29,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,30,"{""entry_interval"": 56, ""lookback"": 5, ""vol_target"": 0.044505}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,31,"{""entry_interval"": 59, ""lookback"": 8, ""vol_target"": 0.048284}",-1.581834,1.130965,-1.581834,-21.78472,-21.78472,74.564874,-29.323706,553,30989.233581,0.081561,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,3,32,"{""entry_interval"": 58, ""lookback"": 5, ""vol_target"": 0.043558}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,4,33,"{""entry_interval"": 60, ""lookback"": 8, ""vol_target"": 0.05}",-1.581834,1.130965,-1.581834,-21.78472,-21.78472,74.564874,-29.323706,553,30989.233581,0.081561,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,4,34,"{""entry_interval"": 55, ""lookback"": 8, ""vol_target"": 0.039551}",-1.581834,1.130965,-1.581834,-21.78472,-21.78472,74.564874,-29.323706,553,30989.233581,0.081561,1.5,True
