asset,asset_class,strategy,split,final_gross_equity,final_equity,gross_total_return,net_total_return,total_return_pct,gross_sharpe,net_sharpe,sharpe_ratio,max_drawdown_pct,num_trades,win_rate,avg_win_pct,avg_loss_pct,cost_bps,total_transaction_cost,total_turnover,signal_count
META,equities,Strategy2 / EMA Filter,full,90218.02,68778.76,-9.781975,-31.221236,-31.221236,0.01186,-0.198185,-0.198185,-50.888109,1150,0.313043,1.533825,-0.727558,1.0,21439.26029,214392602.903915,2300
META,equities,Strategy3 / Exit Confirmation,full,117934.23,94327.7,17.934233,-5.672299,-5.672299,0.202643,0.093204,0.093204,-41.400481,977,0.365404,1.934624,-1.08401,1.0,23606.532414,236065324.138946,1954
META,equities,Strategy4 / EMA + Confirmation,full,103991.23,83578.67,3.991231,-16.421327,-16.421327,0.136114,0.027947,0.027947,-45.86895,895,0.369832,1.915917,-1.115226,1.0,20412.557752,204125577.524279,1790
MSFT,equities,Strategy0 / Baseline,full,96313.16,71165.94,-3.686838,-28.834061,-28.834061,0.026222,-0.402952,-0.402952,-43.7665,1312,0.321646,0.965439,-0.488153,1.0,25147.222573,251472225.731376,2624
MSFT,equities,Strategy1 / Asymmetric Intervals,full,86035.87,57339.63,-13.964128,-42.660375,-42.660375,-0.263498,-1.018513,-1.018513,-50.726829,1592,0.290201,0.828755,-0.382707,1.0,28696.24684,286962468.396242,3184
MSFT,equities,Strategy2 / EMA Filter,full,91463.17,69964.99,-8.53683,-30.035005,-30.035005,-0.061043,-0.407309,-0.407309,-44.724758,1109,0.323715,1.013472,-0.524259,1.0,21498.175499,214981754.994593,2218
MSFT,equities,Strategy3 / Exit Confirmation,full,110248.68,89777.96,10.248681,-10.222038,-10.222038,0.162322,-0.013537,-0.013537,-36.649756,938,0.356077,1.281347,-0.711215,1.0,20470.719167,204707191.668327,1876
MSFT,equities,Strategy4 / EMA + Confirmation,full,103662.95,85476.66,3.662947,-14.523339,-14.523339,0.109829,-0.064702,-0.064702,-40.424248,843,0.362989,1.292792,-0.749743,1.0,18186.28622,181862862.198049,1686
NVDA,equities,Strategy0 / Baseline,full,245123.73,213735.69,145.123728,113.735692,113.735692,1.468954,1.201915,1.201915,-23.461312,1339,0.324869,1.276555,-0.518781,1.0,31388.036361,313880363.608346,2677
NVDA,equities,Strategy1 / Asymmetric Intervals,full,216741.44,181032.01,116.741437,81.03201,81.03201,1.540041,1.140734,1.140734,-23.955108,1602,0.292759,1.123526,-0.404703,1.0,35709.427494,357094274.9444,3203
NVDA,equities,Strategy2 / EMA Filter,full,255582.13,228875.0,155.582129,128.875004,128.875004,1.23174,1.050464,1.050464,-26.326112,1120,0.333929,1.342179,-0.549514,1.0,26707.125369,267071253.687903,2239
NVDA,equities,Strategy3 / Exit Confirmation,full,183304.25,164070.62,83.30425,64.070615,64.070615,0.531246,0.436228,0.436228,-36.696006,951,0.378549,1.575725,-0.852544,1.0,19233.634746,192336347.461705,1901
NVDA,equities,Strategy4 / EMA + Confirmation,full,201518.57,182820.66,101.518571,82.820664,82.820664,0.643036,0.549118,0.549118,-33.523366,853,0.399766,1.569446,-0.901753,1.0,18697.907243,186979072.431687,1705
TSLA,equities,Strategy0 / Baseline,full,1412976.59,1248484.35,1312.976591,1148.484346,1148.484346,2.153145,1.965208,1.965208,-23.615711,1281,0.359094,2.177119,-0.872357,1.0,164492.245711,1644922457.108992,2561
TSLA,equities,Strategy1 / Asymmetric Intervals,full,1243305.51,1071217.26,1143.30551,971.217259,971.217259,2.468059,2.19783,2.19783,-24.1583,1516,0.327836,1.951545,-0.688357,1.0,172088.251346,1720882513.461685,3031
TSLA,equities,Strategy2 / EMA Filter,full,1322636.07,1169396.63,1222.636066,1069.396633,1069.396633,1.774518,1.626545,1.626545,-25.155782,1088,0.372243,2.24972,-0.929709,1.0,153239.432561,1532394325.611252,2175
TSLA,equities,Strategy3 / Exit Confirmation,full,1361697.36,1249260.7,1261.697364,1149.260696,1149.260696,1.234449,1.153211,1.153211,-41.743125,944,0.394068,2.87589,-1.355014,1.0,112436.668382,1124366683.820341,1887
TSLA,equities,Strategy4 / EMA + Confirmation,full,1168615.07,1061884.24,1068.615066,961.884238,961.884238,1.248009,1.161843,1.161843,-47.734898,866,0.393764,2.926401,-1.374899,1.0,106730.828151,1067308281.51157,1731
